,Player,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All Star
223,Spencer Hawes,PF,28,35,626,14.8,0.545,0.252,0.156,5.6,20.1,12.8,16.1,1.0,3.6,14.7,19.6,0.3,0.8,1.1,0.086,-1.1,0.9,-0.1,0.3,0
224,Spencer Hawes,PF,28,19,171,18.6,0.62,0.441,0.305,4.1,26.3,15.3,17.7,0.6,2.1,11.9,20.3,0.4,0.2,0.6,0.16,2.3,0.5,2.8,0.2,0
225,Gordon Hayward,SF,26,73,2516,22.2,0.595,0.324,0.371,2.3,15.4,9.0,18.2,1.5,0.6,9.4,27.6,7.1,3.3,10.4,0.19899999999999998,4.6,0.5,5.0,4.5,0
226,Gerald Henderson,SG,29,72,1667,10.8,0.529,0.313,0.298,2.2,10.0,6.1,10.5,1.2,0.7,9.0,17.9,1.0,1.0,2.0,0.059000000000000004,-2.2,-0.9,-3.1,-0.5,0
227,John Henson,C,26,58,1123,15.3,0.55,0.003,0.34600000000000003,9.6,20.8,15.3,7.7,1.3,6.1,12.7,16.6,1.2,1.6,2.7,0.11599999999999999,-2.3,0.7,-1.6,0.1,0
228,Juan Hernangómez,PF,21,62,842,13.4,0.5920000000000001,0.504,0.33899999999999997,5.7,18.7,12.3,4.7,1.7,1.1,10.7,14.6,1.2,0.6,1.8,0.10400000000000001,0.1,-0.2,-0.1,0.4,0
229,Willy Hernangómez,C,22,72,1324,19.0,0.564,0.032,0.26899999999999996,13.8,27.1,20.4,11.5,1.5,2.2,16.1,20.3,1.8,1.6,3.4,0.12300000000000001,0.3,-0.5,-0.3,0.6,0
230,Mario Hezonja,SF,21,65,960,7.2,0.45,0.436,0.152,2.2,14.7,8.3,9.6,1.5,1.3,14.1,18.8,-1.4,0.8,-0.7,-0.033,-4.1,-0.9,-5.0,-0.7,0
231,Roy Hibbert,C,30,48,682,13.5,0.614,0.0,0.51,8.7,15.9,12.3,4.6,0.6,5.9,15.1,14.0,1.0,0.8,1.8,0.129,-3.2,0.9,-2.3,0.0,0
232,Roy Hibbert,C,30,42,671,13.5,0.613,0.0,0.521,8.6,16.0,12.3,4.5,0.6,5.8,14.9,14.0,1.0,0.8,1.8,0.129,-3.2,0.8,-2.4,-0.1,0
